id,rank,nome,símbolo,preço,variação_24h,volume_24h,market_cap
1,1,Bitcoin,BTC,103934.07140519393,1.51878454,48899343771.25631,2064680469344.885
1027,2,Ethereum,ETH,2589.011594302334,2.43630054,23673817410.6874,312565993124.5912
825,3,Tether USDt,USDT,1.0001144416969547,0.00203167,83292488535.74344,151071242582.18814
52,4,XRP,XRP,2.417027842712796,-0.93469097,4932223658.955189,141691363282.36896
1839,5,BNB,BNB,651.3898568210831,0.23143917,1757336315.1412635,91773498182.58354
5426,6,Solana,SOL,172.0583915075494,1.04252461,3954054130.3711815,89439896475.08078
3408,7,USDC,USDC,0.9998562077072836,0.00019154,10625172462.334335,60789942483.20834
74,8,Dogecoin,DOGE,0.22805664233147585,3.35263247,2133376367.3793747,34046160245.85695
2010,9,Cardano,ADA,0.7751477057922396,2.02338712,1009866037.4479258,27378299576.92778
1958,10,TRON,TRX,0.27210652366166854,-0.27176872,906688781.5410618,25821078360.021194
